as-735.bin 0.013388
com-dblp.ungraph.bin 0.026052
soc-LiveJournal1.bin 1.01846
soc-pokec-relationships.bin 0.541334
soc-sign-epinions.bin 0.036747
com-orkut.ungraph.bin 3.26295
roadNet-TX.bin 0.048366
cit-HepTh.bin 0.014323
p2p-Gnutella31.bin 0.012061
cit-Patents.bin 0.45376
soc-sign-Slashdot081106.bin 0.018505
p2p-Gnutella30.bin 0.010519
p2p-Gnutella06.bin 0.01091
ca-GrQc.bin 0.009265
p2p-Gnutella08.bin 0.009031
p2p-Gnutella24.bin 0.011249
as-caida.bin 0.016641
soc-Slashdot0902.bin 0.020917
ca-CondMat.bin 0.012572
web-NotreDame.bin 0.051253
soc-sign-Slashdot090221.bin 0.017135
p2p-Gnutella09.bin 0.009314
soc-Epinions1.bin 0.025103
ca-HepPh.bin 0.013895
roadNet-CA.bin 0.065699
wiki-Vote.bin 0.020563
amazon0601.bin 0.036238
web-BerkStan.bin 0.052995
p2p-Gnutella05.bin 0.008834
soc-Slashdot0811.bin 0.021797
ca-HepTh.bin 0.010262
amazon0505.bin 0.037285
p2p-Gnutella25.bin 0.012752
com-youtube.ungraph.bin 0.129367
ca-AstroPh.bin 0.013687
roadNet-PA.bin 0.041379
wiki-Talk.bin 0.379757
higgs-social_network.bin 0.092764
email-EuAll.bin 0.023653
email-Enron.bin 0.014091
com-amazon.ungraph.bin 0.026914
web-Stanford.bin 0.028786
soc-sign-Slashdot090216.bin 0.015627
cit-HepPh.bin 0.0142
amazon0312.bin 0.034892
p2p-Gnutella04.bin 0.010241
com-lj.ungraph.bin 0.982548
Oregon-1.bin 0.013847
Oregon-2.bin 0.014692
web-Google.bin 0.111914
as-Skitter.bin 0.22514
amazon0302.bin 0.021152
as-735.bin 0.022628
com-dblp.ungraph.bin 0.031486
soc-LiveJournal1.bin 1.02349
soc-pokec-relationships.bin 0.540236
soc-sign-epinions.bin 0.052142
com-orkut.ungraph.bin 3.35732
roadNet-TX.bin 0.052302
cit-HepTh.bin 0.021343
p2p-Gnutella31.bin 0.019055
cit-Patents.bin 0.467054
soc-sign-Slashdot081106.bin 0.023722
p2p-Gnutella30.bin 0.018074
p2p-Gnutella06.bin 0.016964
ca-GrQc.bin 0.016538
p2p-Gnutella08.bin 0.016393
p2p-Gnutella24.bin 0.018176
as-caida.bin 0.02639
soc-Slashdot0902.bin 0.030044
ca-CondMat.bin 0.019307
web-NotreDame.bin 0.070427
soc-sign-Slashdot090221.bin 0.024272
p2p-Gnutella09.bin 0.017176
soc-Epinions1.bin 0.03172
ca-HepPh.bin 0.022167
roadNet-CA.bin 0.071789
wiki-Vote.bin 0.02256
amazon0601.bin 0.040016
web-BerkStan.bin 0.055927
p2p-Gnutella05.bin 0.016579
soc-Slashdot0811.bin 0.027653
ca-HepTh.bin 0.016089
amazon0505.bin 0.040014
p2p-Gnutella25.bin 0.017727
com-youtube.ungraph.bin 0.126234
ca-AstroPh.bin 0.022229
roadNet-PA.bin 0.042891
wiki-Talk.bin 0.378839
higgs-social_network.bin 0.102225
email-EuAll.bin 0.033177
email-Enron.bin 0.022012
com-amazon.ungraph.bin 0.032212
