amazon0302.bin 2.55755e-06 2.45123e-06 2.93928e-06
amazon0302.bin 2.55576e-06 2.44957e-06 2.93761e-06
amazon0302.bin 3.81518e-06 3.81518e-06 3.81518e-06

amazon0312.bin 2.49545e-06 2.49543e-06 2.49545e-06
amazon0312.bin 2.49545e-06 2.49543e-06 2.49545e-06
amazon0312.bin 2.49546e-06 2.49546e-06 2.49546e-06

amazon0505.bin 2.43355e-06 2.434e-06 2.43203e-06
amazon0505.bin 2.43796e-06 2.43802e-06 2.43593e-06
amazon0505.bin 2.43762e-06 2.43762e-06 2.43762e-06

amazon0601.bin 2.45739e-06 2.45859e-06 2.45663e-06
amazon0601.bin 2.45739e-06 2.45859e-06 2.45663e-06
amazon0601.bin 2.47897e-06 2.47897e-06 2.47897e-06

as-735.bin 0.000129601 0.000129601 0.000129601
as-735.bin 0.000129577 0.000129576 0.000129576
as-735.bin 0.000129601 0.000129601 0.000129601

as-caida.bin 1.59342e-06 1.59342e-06 3.18686e-05
as-caida.bin 1.59342e-06 1.59342e-06 3.18685e-05
as-caida.bin 3.18684e-05 3.18684e-05 3.18684e-05

as-Skitter.bin 5.89479e-07 5.89479e-07 5.89479e-07
as-Skitter.bin 5.89479e-07 5.89479e-07 5.89479e-07
as-Skitter.bin 5.89478e-07 5.89478e-07 5.89478e-07

ca-AstroPh.bin 5.32708e-05 5.32708e-05 5.32708e-05
ca-AstroPh.bin 5.3234e-05 5.32349e-05 5.32318e-05
ca-AstroPh.bin 5.32708e-05 5.32708e-05 5.32708e-05

ca-CondMat.bin 4.32283e-05 4.32283e-05 4.32283e-05
ca-CondMat.bin 4.32283e-05 4.32283e-05 4.32283e-05
ca-CondMat.bin 4.32283e-05 4.32283e-05 4.32283e-05

ca-GrQc.bin 0.000190767 0.000190767 0.000190767
ca-GrQc.bin 0.000190649 0.000190767 0.000190646
ca-GrQc.bin 0.000190767 0.000190767 0.000190767

ca-HepPh.bin 8.32778e-05 8.32778e-05 8.32779e-05
ca-HepPh.bin 8.32792e-05 8.32796e-05 8.32791e-05
ca-HepPh.bin 8.32778e-05 8.32778e-05 8.32778e-05

ca-HepTh.bin 0.000101245 0.000101245 0.000101245
ca-HepTh.bin 0.000101245 0.000101245 0.000101245
ca-HepTh.bin 0.000101245 0.000101245 0.000101245

cit-HepPh.bin 6.3921e-06 6.93491e-06 6.70779e-06
cit-HepPh.bin 6.3921e-06 6.93491e-06 6.70779e-06
cit-HepPh.bin 2.89469e-05 2.89469e-05 2.89469e-05

cit-HepTh.bin 1.0217e-05 1.17111e-05 1.41493e-05
cit-HepTh.bin 1.02158e-05 1.17101e-05 1.41481e-05
cit-HepTh.bin 3.60101e-05 3.60101e-05 3.60101e-05

cit-Patents.bin 1.32458e-08 1.32458e-08 1.32458e-08
cit-Patents.bin 1.32458e-08 1.32458e-08 1.32458e-08
cit-Patents.bin 2.64917e-07 2.64917e-07 2.64917e-07

com-amazon.ungraph.bin 2.9863e-06 2.9863e-06 2.9863e-06
com-amazon.ungraph.bin 2.9863e-06 2.9863e-06 2.9863e-06
com-amazon.ungraph.bin 2.9863e-06 2.9863e-06 2.9863e-06

com-dblp.ungraph.bin 3.15378e-06 3.15378e-06 3.15378e-06
com-dblp.ungraph.bin 3.15026e-06 3.1502e-06 3.15018e-06
com-dblp.ungraph.bin 3.15378e-06 3.15378e-06 3.15378e-06

com-lj.ungraph.bin 2.50127e-07 2.50127e-07 2.50127e-07
com-lj.ungraph.bin 2.50032e-07 2.5003e-07 2.50031e-07
com-lj.ungraph.bin 2.50127e-07 2.50127e-07 2.50127e-07

com-orkut.ungraph.bin 3.25474e-07 3.25474e-07 3.25474e-07
com-orkut.ungraph.bin 3.25474e-07 3.25474e-07 3.25474e-07
