amazon0302.bin 0.013065
amazon0312.bin 0.027035
amazon0505.bin 0.028403
amazon0601.bin 0.028118
as-735.bin 0.012892
as-caida.bin 0.020986
as-Skitter.bin 0.437374
ca-AstroPh.bin 0.007379
ca-CondMat.bin 0.006717
ca-GrQc.bin 0.003971
ca-HepPh.bin 0.00752
ca-HepTh.bin 0.004174
cit-HepPh.bin 0.007818
cit-HepTh.bin 0.010087
cit-Patents.bin 0.452059
com-amazon.ungraph.bin 0.023758
com-dblp.ungraph.bin 0.025637
com-lj.ungraph.bin 1.01955
com-orkut.ungraph.bin 3.44691
com-youtube.ungraph.bin 0.275578
email-Enron.bin 0.015894
email-EuAll.bin 0.014997
Oregon-1.bin 0.019444
Oregon-2.bin 0.019789
p2p-Gnutella04.bin 0.00413
p2p-Gnutella05.bin 0.003892
p2p-Gnutella06.bin 0.00419
p2p-Gnutella08.bin 0.003789
p2p-Gnutella09.bin 0.003753
p2p-Gnutella24.bin 0.004467
p2p-Gnutella25.bin 0.004153
p2p-Gnutella30.bin 0.004716
p2p-Gnutella31.bin 0.006011
roadNet-CA.bin 0.075883
roadNet-PA.bin 0.043586
roadNet-TX.bin 0.054695
soc-Epinions1.bin 0.019075
higgs-social_network.bin 0.126038
soc-LiveJournal1.bin 1.14878
soc-pokec-relationships.bin 0.55434
soc-sign-epinions.bin 0.032282
soc-sign-Slashdot081106.bin 0.011517
soc-sign-Slashdot090216.bin 0.012086
soc-sign-Slashdot090221.bin 0.011849
soc-Slashdot0811.bin 0.0256
soc-Slashdot0902.bin 0.026033
web-BerkStan.bin 0.056957
web-Google.bin 0.107437
web-NotreDame.bin 0.043094
web-Stanford.bin 0.032115
wiki-Talk.bin 0.923133
wiki-Vote.bin 0.009286
