as-735.bin 0.021705 part1E:
com-dblp.ungraph.bin 0.035936 part1E:
soc-LiveJournal1.bin 0.742736 part1E:
soc-pokec-relationships.bin 0.354802 part1E:
soc-sign-epinions.bin 0.049005 part1E:
com-orkut.ungraph.bin 2.18993 part1E:
roadNet-TX.bin 0.090854 part1E:
cit-HepTh.bin 0.03423 part1E:
p2p-Gnutella31.bin 0.021915 part1E:
cit-Patents.bin 0.364398 part1E:
soc-sign-Slashdot081106.bin 0.027003 part1E:
p2p-Gnutella30.bin 0.022603 part1E:
p2p-Gnutella06.bin 0.019654 part1E:
ca-GrQc.bin 0.031281 part1E:
p2p-Gnutella08.bin 0.023765 part1E:
p2p-Gnutella24.bin 0.020235 part1E:
as-caida.bin 0.028044 part1E:
soc-Slashdot0902.bin 0.028287 part1E:
ca-CondMat.bin 0.022731 part1E:
web-NotreDame.bin 0.058473 part1E:
soc-sign-Slashdot090221.bin 0.026165 part1E:
p2p-Gnutella09.bin 0.023957 part1E:
soc-Epinions1.bin 0.026973 part1E:
ca-HepPh.bin 0.022125 part1E:
roadNet-CA.bin 0.107441 part1E:
wiki-Vote.bin 0.028023 part1E:
amazon0601.bin 0.034073 part1E:
web-BerkStan.bin 0.052239 part1E:
p2p-Gnutella05.bin 0.019672 part1E:
soc-Slashdot0811.bin 0.027424 part1E:
ca-HepTh.bin 0.020592 part1E:
amazon0505.bin 0.033575 part1E:
p2p-Gnutella25.bin 0.024053 part1E:
com-youtube.ungraph.bin 0.20111 part1E:
ca-AstroPh.bin 0.022997 part1E:
roadNet-PA.bin 0.056919 part1E:
wiki-Talk.bin 0.979917 part1E:
higgs-social_network.bin 0.093365 part1E:
email-EuAll.bin 0.035702 part1E:
email-Enron.bin 0.024185 part1E:
com-amazon.ungraph.bin 0.034073 part1E:
web-Stanford.bin 0.035475 part1E:
soc-sign-Slashdot090216.bin 0.026657 part1E:
cit-HepPh.bin 0.023777 part1E:
amazon0312.bin 0.033113 part1E:
p2p-Gnutella04.bin 0.023397 part1E:
com-lj.ungraph.bin 0.789939 part1E:
Oregon-1.bin 0.026061 part1E:
Oregon-2.bin 0.029739 part1E:
web-Google.bin 0.094347 part1E:
as-Skitter.bin 0.312044 part1E:
amazon0302.bin 0.027513 part1E:
as-735.bin 0.034342 part1E:
com-dblp.ungraph.bin 0.050483 part1E:
soc-LiveJournal1.bin 0.763061 part1E:
soc-pokec-relationships.bin 0.359891 part1E:
soc-sign-epinions.bin 0.066626 part1E:
com-orkut.ungraph.bin 1.97822 part1E:
roadNet-TX.bin 0.08875 part1E:
cit-HepTh.bin 0.037328 part1E:
p2p-Gnutella31.bin 0.034877 part1E:
cit-Patents.bin 0.372787 part1E:
soc-sign-Slashdot081106.bin 0.040088 part1E:
p2p-Gnutella30.bin 0.042135 part1E:
p2p-Gnutella06.bin 0.038912 part1E:
ca-GrQc.bin 0.038053 part1E:
p2p-Gnutella08.bin 0.032371 part1E:
p2p-Gnutella24.bin 0.035834 part1E:
as-caida.bin 0.039608 part1E:
soc-Slashdot0902.bin 0.043425 part1E:
ca-CondMat.bin 0.035644 part1E:
web-NotreDame.bin 0.084514 part1E:
soc-sign-Slashdot090221.bin 0.040115 part1E:
p2p-Gnutella09.bin 0.039023 part1E:
soc-Epinions1.bin 0.039221 part1E:
ca-HepPh.bin 0.037439 part1E:
roadNet-CA.bin 0.098578 part1E:
wiki-Vote.bin 0.038569 part1E:
amazon0601.bin 0.048337 part1E:
web-BerkStan.bin 0.068356 part1E:
p2p-Gnutella05.bin 0.033468 part1E:
soc-Slashdot0811.bin 0.041637 part1E:
ca-HepTh.bin 0.035188 part1E:
amazon0505.bin 0.046454 part1E:
p2p-Gnutella25.bin 0.033015 part1E:
com-youtube.ungraph.bin 0.212855 part1E:
ca-AstroPh.bin 0.03928 part1E:
roadNet-PA.bin 0.072516 part1E:
wiki-Talk.bin 0.633857 part1E:
higgs-social_network.bin 0.083657 part1E:
email-EuAll.bin 0.046472 part1E:
email-Enron.bin 0.036891 part1E:
com-amazon.ungraph.bin 0.049915 part1E:
web-Stanford.bin 0.052046 part1E:
soc-sign-Slashdot090216.bin 0.039817 part1E:
cit-HepPh.bin 0.040271 part1E:
amazon0312.bin 0.050133 part1E:
p2p-Gnutella04.bin 0.042671 part1E:
com-lj.ungraph.bin 0.593386 part1E:
Oregon-1.bin 0.038678 part1E:
Oregon-2.bin 0.038334 part1E:
web-Google.bin 0.089674 part1E:
as-Skitter.bin 0.284341 part1E:
amazon0302.bin 0.042135 part1E:
as-735.bin 0.059068 part1E:
com-dblp.ungraph.bin 0.093436 part1E:
soc-LiveJournal1.bin 0.660328 part1E:
soc-pokec-relationships.bin 0.364338 part1E:
soc-sign-epinions.bin 0.093802 part1E:
com-orkut.ungraph.bin 2.06509 part1E:
roadNet-TX.bin 0.120317 part1E:
cit-HepTh.bin 0.079366 part1E:
p2p-Gnutella31.bin 0.062366 part1E:
cit-Patents.bin 0.310602 part1E:
soc-sign-Slashdot081106.bin 0.074413 part1E:
p2p-Gnutella30.bin 0.06979 part1E:
