as-735.bin 0.011555
com-dblp.ungraph.bin 0.022963
soc-LiveJournal1.bin 0.580418
soc-pokec-relationships.bin 0.305968
soc-sign-epinions.bin 0.014797
com-orkut.ungraph.bin 1.66236
roadNet-TX.bin 0.041374
cit-HepTh.bin 0.008596
p2p-Gnutella31.bin 0.00749
cit-Patents.bin 0.273161
soc-sign-Slashdot081106.bin 0.008612
p2p-Gnutella30.bin 0.007332
p2p-Gnutella06.bin 0.006616
ca-GrQc.bin 0.006484
p2p-Gnutella08.bin 0.007029
p2p-Gnutella24.bin 0.007253
as-caida.bin 0.008981
soc-Slashdot0902.bin 0.011007
ca-CondMat.bin 0.007249
web-NotreDame.bin 0.020418
soc-sign-Slashdot090221.bin 0.009245
p2p-Gnutella09.bin 0.006689
soc-Epinions1.bin 0.012025
ca-HepPh.bin 0.007325
roadNet-CA.bin 0.055794
wiki-Vote.bin 0.006905
amazon0601.bin 0.024833
web-BerkStan.bin 0.036082
p2p-Gnutella05.bin 0.006625
soc-Slashdot0811.bin 0.010825
ca-HepTh.bin 0.007234
amazon0505.bin 0.025188
p2p-Gnutella25.bin 0.007395
com-youtube.ungraph.bin 0.082995
ca-AstroPh.bin 0.007539
roadNet-PA.bin 0.03455
wiki-Talk.bin 0.174655
higgs-social_network.bin 0.0562
email-EuAll.bin 0.014639
email-Enron.bin 0.008926
com-amazon.ungraph.bin 0.019282
web-Stanford.bin 0.018995
soc-sign-Slashdot090216.bin 0.009156
cit-HepPh.bin 0.007935
amazon0312.bin 0.02419
p2p-Gnutella04.bin 0.006682
com-lj.ungraph.bin 0.542603
Oregon-1.bin 0.008169
Oregon-2.bin 0.007371
web-Google.bin 0.067352
as-Skitter.bin 0.129658
amazon0302.bin 0.014187
as-735.bin 0.007574
com-dblp.ungraph.bin 0.018598
soc-LiveJournal1.bin 0.580394
soc-pokec-relationships.bin 0.305831
soc-sign-epinions.bin 0.014877
com-orkut.ungraph.bin 1.66161
roadNet-TX.bin 0.041242
cit-HepTh.bin 0.007984
p2p-Gnutella31.bin 0.007782
cit-Patents.bin 0.272779
soc-sign-Slashdot081106.bin 0.008788
p2p-Gnutella30.bin 0.006811
p2p-Gnutella06.bin 0.006572
ca-GrQc.bin 0.006438
p2p-Gnutella08.bin 0.006085
p2p-Gnutella24.bin 0.006345
as-caida.bin 0.008385
soc-Slashdot0902.bin 0.010692
ca-CondMat.bin 0.006703
web-NotreDame.bin 0.020124
soc-sign-Slashdot090221.bin 0.008749
p2p-Gnutella09.bin 0.00703
soc-Epinions1.bin 0.011304
ca-HepPh.bin 0.00714
roadNet-CA.bin 0.055377
wiki-Vote.bin 0.006735
amazon0601.bin 0.024734
web-BerkStan.bin 0.035666
p2p-Gnutella05.bin 0.006451
soc-Slashdot0811.bin 0.010704
ca-HepTh.bin 0.006588
amazon0505.bin 0.024949
p2p-Gnutella25.bin 0.006718
com-youtube.ungraph.bin 0.082812
ca-AstroPh.bin 0.007872
roadNet-PA.bin 0.034226
wiki-Talk.bin 0.17465
higgs-social_network.bin 0.056061
email-EuAll.bin 0.014722
email-Enron.bin 0.008725
com-amazon.ungraph.bin 0.019176
web-Stanford.bin 0.01877
soc-sign-Slashdot090216.bin 0.009036
cit-HepPh.bin 0.007805
amazon0312.bin 0.024017
p2p-Gnutella04.bin 0.006503
com-lj.ungraph.bin 0.541455
Oregon-1.bin 0.008125
Oregon-2.bin 0.006951
web-Google.bin 0.066907
as-Skitter.bin 0.129675
amazon0302.bin 0.014222
as-735.bin 0.007859
com-dblp.ungraph.bin 0.018737
soc-LiveJournal1.bin 0.580172
soc-pokec-relationships.bin 0.305819
soc-sign-epinions.bin 0.015138
com-orkut.ungraph.bin 1.6616
roadNet-TX.bin 0.040922
cit-HepTh.bin 0.007629
p2p-Gnutella31.bin 0.006831
